CID,BDATE,GEN
NASAW00020359,1983-09-15,Male
NASAW00020360,1991-03-10,Female
NASAW00020361,1979-03-05,Male
NASAW00020362,1951-08-25,Male
NASAW00020363,1982-05-21,Male
NASAW00020364,1998-01-27,Male
NASAW00020365,1953-10-07,Male
NASAW00020366,1994-11-19,Female
NASAW00020367,1988-03-29,Female
NASAW00020368,2004-09-12,Male
NASAW00020369,1996-10-20,Male
NASAW00020370,1990-08-29,M
NASAW00020371,1955-11-18,Female
NASAW00020372,1991-09-30,Female
NASAW00020373,1967-01-23,Female
NASAW00020374,1972-08-20,Male
NASAW00020375,1968-04-17,Male
NASAW00020376,1977-06-13,Female
NASAW00020377,1956-07-01,Female
NASAW00020378,1953-05-05,Female
NASAW00020379,1987-07-19,Male
NASAW00020380,1995-08-21,Male
NASAW00020381,1956-04-24,Female
NASAW00020382,1989-04-08,male
NASAW00020383,1967-12-15,Female
NASAW00020384,2001-03-26,Female
NASAW00020385,1974-10-06,Male
NASAW00020386,1998-03-15,Female
NASAW00020387,2004-07-12,Male
NASAW00020388,1959-04-03,Male
NASAW00020389,1993-02-18,Male
NASAW00020390,1992-04-10,Male
NASAW00020391,1978-07-06,Female
NASAW00020392,1990-10-02,Female
NASAW00020393,1993-01-05,Female
NASAW00020394,1988-07-05,Female
NASAW00020395,1990-01-27,F
NASAW00020396,1969-12-28,Male
NASAW00020397,1988-01-12,Female
NASAW00020398,1996-07-18,Female
NASAW00020399,1975-01-12,Male
NASAW00020400,1977-01-24,Male
NASAW00020401,1987-11-06,Female
NASAW00020402,2006-05-03,Female
NASAW00020403,1998-10-20,Female
NASAW00020404,1969-08-19,Female
NASAW00020405,1969-10-20,Male
NASAW00020406,2002-01-26,Female
NASAW00020407,2006-05-11,Male
NASAW00020408,1983-06-13,Male
NASAW00020409,2003-06-27,Female
NASAW00020410,1983-01-28,Male
NASAW00020411,1969-01-24,Female
NASAW00020412,1973-07-22,Female
NASAW00020413,2002-07-15,Male
NASAW00020414,1999-11-07,Female
NASAW00020415,1966-04-26,Male
NASAW00020416,1949-06-21,Male
NASAW00020417,1976-06-27,Male
NASAW00020418,1950-06-23,Female
NASAW00020419,1962-03-13,Male
NASAW00020420,1974-05-13,Male
NASAW00020421,1960-06-25,Male
NASAW00020422,1956-04-30,Male
NASAW00020423,1972-05-23,Male
NASAW00020424,1988-01-11,Male
NASAW00020425,1995-12-08,Female
NASAW00020426,1984-02-09,Male
NASAW00020427,1952-06-06,Male
NASAW00020428,1969-08-20,Female
NASAW00020429,1962-08-20,Male
NASAW00020430,1951-06-17,Female
NASAW00020431,1964-08-30,Male
NASAW00020432,1978-08-15,Female
NASAW00020433,1980-11-28,Female
NASAW00020434,1954-05-12,Female
NASAW00020435,1968-06-08,Male
NASAW00020436,1975-12-16,Male
NASAW00020437,1980-04-03,Female
NASAW00020438,1988-06-21,Female
NASAW00020439,2001-10-15,Female
NASAW00020440,1957-03-16,Female
NASAW00020441,1963-07-03,Female
NASAW00020442,2000-12-26,Male
NASAW00020443,1998-10-07,Female
NASAW00020444,1981-09-03,Male
NASAW00020445,1989-12-22,Male
NASAW00020446,1960-04-25,Female
NASAW00020447,1973-10-18,Male
NASAW00020448,1994-12-24,Male
NASAW00020449,2005-06-06,Female
NASAW00020450,1973-09-17,Male
NASAW00020451,1959-03-29,Female
NASAW00020452,1968-04-23,Female
NASAW00020453,1980-09-04,Female
NASAW00020454,1970-11-21,Male
NASAW00020455,1984-12-30,Male
NASAW00020456,1988-02-09,Male
NASAW00020457,2004-10-11,Male
NASAW00020458,1999-06-22,Female
NASAW00020459,1988-05-10,Male
NASAW00020460,1958-09-29,Female
NASAW00020461,1971-10-27,Female
NASAW00020462,1999-03-11,Female
NASAW00020463,1963-06-26,Female
NASAW00020464,1969-09-22,Male
NASAW00020465,1991-08-27,Male
NASAW00020466,1991-06-01,Female
NASAW00020467,2004-06-23,Female
NASAW00020468,1984-06-22,Female
NASAW00020469,1979-01-09,Male
NASAW00020470,1988-03-10,M
NASAW00020471,1972-03-08,Female
NASAW00020472,2003-03-12,Male
NASAW00020473,2002-04-19,Male
NASAW00020474,1983-10-01,Female
NASAW00020475,1954-02-20,Female
NASAW00020476,1995-07-28,Male
NASAW00020477,1945-03-29,Female
NASAW00020478,1999-12-14,Male
NASAW00020479,1988-09-05,Male
NASAW00020480,1971-10-11,Female
NASAW00020481,1963-11-20,Female
NASAW00020482,1986-11-12,Male
NASAW00020483,2004-07-27,Male
NASAW00020484,1974-11-17,Female
NASAW00020485,1985-10-22,Female
NASAW00020486,2000-02-19,Male
NASAW00020487,2004-07-02,Female
NASAW00020488,1993-02-19,Male
NASAW00020489,1976-08-13,Female
NASAW00020490,1989-11-25,Female
NASAW00020491,1954-04-27,Female
NASAW00020492,2003-02-24,Female
NASAW00020493,1972-09-21,Female
NASAW00020494,2003-03-14,Male
NASAW00020495,2000-08-02,Male
NASAW00020496,1966-05-02,Female
NASAW00020497,1978-06-15,Male
NASAW00020498,2005-06-25,Female
NASAW00020499,1988-08-07,Female
NASAW00020500,1988-10-06,Male
NASAW00020501,2003-08-22,Male
NASAW00020502,1958-12-10,Female
NASAW00020503,2001-05-07,Male
NASAW00020504,1981-10-31,Male
NASAW00020505,2003-10-13,Female
NASAW00020506,1984-11-02,Male
NASAW00020507,1986-09-20,Female
NASAW00020508,1998-03-12,Female
NASAW00020509,2001-11-04,Female
NASAW00020510,1989-03-15,Female
NASAW00020511,1967-01-12,Male
NASAW00020512,1994-11-18,Female
NASAW00020513,1996-04-23,Male
NASAW00020514,1991-06-29,Female
NASAW00020515,1970-06-05,Female
NASAW00020516,1948-04-30,Male
NASAW00020517,1962-02-18,Female
NASAW00020518,1954-01-16,F
NASAW00020519,1976-03-20,Male
NASAW00020520,2004-02-16,Male
NASAW00020521,1984-04-29,Female
NASAW00020522,1986-04-09,Female
NASAW00020523,1996-07-21,male
NASAW00020524,1983-10-20,Male
NASAW00020525,1992-06-17,Male
NASAW00020526,1980-09-11,Male
NASAW00020527,1954-11-09,Female
NASAW00020528,1996-11-18,Male
NASAW00020529,2004-08-16,Female
NASAW00020530,1984-12-09,Male
NASAW00020531,1976-08-31,Female
NASAW00020532,1988-09-03,Female
NASAW00020533,2005-06-14,Female
NASAW00020534,1949-01-30,Female
NASAW00020535,1956-06-29,Male
NASAW00020536,1969-03-26,Male
NASAW00020537,1965-09-05,Male
NASAW00020538,1962-05-24,Male
NASAW00020539,1969-05-31,Female
NASAW00020540,1972-10-20,Female
NASAW00020541,2000-02-17,Female
NASAW00020542,2005-04-28,Female
NASAW00020543,1988-01-17,Female
NASAW00020544,1984-08-15,Male
NASAW00020545,1969-01-17,Male
NASAW00020546,1962-08-03,Male
NASAW00020547,2004-08-03,Female
NASAW00020548,2005-06-05,Female
NASAW00020549,2001-06-03,Female
NASAW00020550,1995-04-22,Female
NASAW00020551,1947-04-06,Female
NASAW00020552,1961-04-13,Female
NASAW00020553,1966-04-16,Female
NASAW00020554,1998-01-18,Male
NASAW00020555,1957-09-11,Female
NASAW00020556,1983-07-03,Male
NASAW00020557,1952-12-08,Male
NASAW00020558,1962-08-06,Male
NASAW00020559,1951-10-12,Male
NASAW00020560,1973-11-30,Female
NASAW00020561,1952-05-30,Female
NASAW00020562,2002-08-04,Male
NASAW00020563,1974-11-21,Female
NASAW00020564,1980-05-17,Female
NASAW00020565,1985-07-04,Female
NASAW00020566,1978-11-15,Male
NASAW00020567,1961-03-24,Female
NASAW00020568,1970-02-19,Male
NASAW00020569,1954-10-25,Female
NASAW00020570,1952-08-28,Female
NASAW00020571,1961-10-30,Male
NASAW00020572,2006-08-25,Male
NASAW00020573,1963-06-28,Male
NASAW00020574,2006-11-27,Female
NASAW00020575,1983-06-23,Male
NASAW00020576,1993-03-08,Female
NASAW00020577,1989-07-23,Female
NASAW00020578,1979-04-10,Male
NASAW00020579,1947-07-04,Female
NASAW00020580,2004-05-19,Male
NASAW00020581,1966-10-18,Male
NASAW00020582,1953-09-29,Female
NASAW00020583,1960-02-29,Female
NASAW00020584,1946-01-10,Female
NASAW00020585,1980-06-05,Female
NASAW00020586,1988-04-28,Male
NASAW00020587,1982-11-04,Female
NASAW00020588,1984-01-27,Male
NASAW00020589,1986-09-21,Female
NASAW00020590,1945-03-26,Female
NASAW00020591,2006-10-26,Female
NASAW00020592,1961-08-24,Female
NASAW00020593,1958-03-20,Female
NASAW00020594,1995-04-29,Female
NASAW00020595,1954-03-29,Male
NASAW00020596,1949-01-05,Male
NASAW00020597,1979-09-25,Female
NASAW00020598,1980-12-10,Female
NASAW00020599,1986-12-03,Male
NASAW00020600,1981-01-01,female
NASAW00020601,2006-06-05,Male
NASAW00020602,1979-09-18,Female
NASAW00020603,1996-01-23,male
NASAW00020604,1988-08-26,Male
NASAW00020605,1971-10-08,Male
NASAW00020606,1998-06-27,Male
NASAW00020607,1956-01-27,Female
NASAW00020608,1995-02-13,Male
NASAW00020609,1980-08-17,Male
NASAW00020610,1996-12-30,Male
NASAW00020611,1986-06-25,Male
NASAW00020612,1974-10-18,Male
NASAW00020613,1998-09-07,Female
NASAW00020614,1957-06-06,Female
NASAW00020615,1960-06-02,Male
NASAW00020616,1957-08-13,Female
NASAW00020617,1996-04-06,Male
NASAW00020618,1994-05-19,Female
NASAW00020619,1977-11-29,Male
NASAW00020620,1957-09-13,Male
NASAW00020621,1962-11-08,Female
NASAW00020622,1993-12-01,Female
NASAW00020623,1962-03-28,Male
NASAW00020624,1945-05-20,Female
NASAW00020625,1966-06-21,Female
NASAW00020626,1952-07-30,Female
NASAW00020627,1967-10-06,Male
NASAW00020628,2006-12-05,Male
NASAW00020629,1947-05-02,Male
NASAW00020630,1972-04-18,Male
NASAW00020631,1958-07-04,Male
NASAW00020632,1961-12-29,Female
NASAW00020633,1977-12-25,Female
NASAW00020634,1995-10-21,Male
NASAW00020635,1975-05-28,Female
NASAW00020636,1953-12-20,Female
NASAW00020637,1952-04-22,Male
NASAW00020638,1962-04-01,F
NASAW00020639,1989-11-20,Male
NASAW00020640,1996-06-02,Male
NASAW00020641,1967-10-04,Female
NASAW00020642,1945-06-07,Female
NASAW00020643,1967-09-25,Male
NASAW00020644,2001-12-07,Female
NASAW00020645,1963-09-27,Female
NASAW00020646,1995-02-12,Female
NASAW00020647,1981-03-21,Female
NASAW00020648,1950-06-11,M
NASAW00020649,1965-02-19,Female
NASAW00020650,2005-09-04,Male
NASAW00020651,1952-03-07,Female
NASAW00020652,1966-03-16,Male
NASAW00020653,1960-11-19,Female
NASAW00020654,1985-06-24,Female
NASAW00020655,1968-09-08,Female
NASAW00020656,1955-06-09,Female
NASAW00020657,1993-09-13,Male
NASAW00020658,1997-08-19,Female
NASAW00020659,1964-06-27,Male
NASAW00020660,1975-11-26,Female
NASAW00020661,1970-12-22,Male
NASAW00020662,1985-10-27,Female
NASAW00020663,1997-01-04,Female
NASAW00020664,1987-10-28,Male
NASAW00020665,1954-06-09,Female
NASAW00020666,1996-09-08,Female
NASAW00020667,1985-05-02,Female
NASAW00020668,1982-07-13,Male
NASAW00020669,1990-11-29,Female
NASAW00020670,1958-08-11,Male
NASAW00020671,1971-07-24,Female
NASAW00020672,2006-01-13,Female
NASAW00020673,1997-01-12,male
NASAW00020674,1968-02-18,Female
NASAW00020675,1992-05-29,Female
NASAW00020676,1946-01-09,Female
NASAW00020677,1997-12-11,Male
NASAW00020678,2003-04-24,Female
NASAW00020679,1951-01-27,Male
NASAW00020680,1981-10-06,Female
NASAW00020681,1948-01-12,Female
NASAW00020682,1984-07-16,Female
NASAW00020683,1998-06-26,Male
NASAW00020684,2003-09-12,Female
NASAW00020685,1957-12-12,Female
NASAW00020686,1987-01-10,Female
NASAW00020687,1951-04-05,Male
NASAW00020688,1949-12-13,Male
NASAW00020689,1977-01-30,Female
NASAW00020690,1960-06-19,Male
NASAW00020691,1981-07-03,Male
NASAW00020692,1970-10-15,Male
NASAW00020693,1962-04-12,Male
NASAW00020694,1949-08-28,Male
NASAW00020695,2000-05-02,Male
NASAW00020696,1967-08-19,Male
NASAW00020697,1980-12-27,Male
NASAW00020698,1978-11-25,Female
NASAW00020699,1965-04-30,Male
NASAW00020700,1980-10-12,Male
NASAW00020701,1962-02-10,Female
NASAW00020702,1973-12-27,Female
NASAW00020703,1953-02-08,Female
NASAW00020704,1966-10-02,Male
NASAW00020705,1947-12-18,Female
NASAW00020706,1967-10-09,Female
NASAW00020707,1970-10-10,Female
NASAW00020708,1967-01-07,Male
NASAW00020709,1967-12-18,Female
NASAW00020710,1972-11-26,Male
NASAW00020711,1974-01-25,Female
NASAW00020712,1981-10-20,Female
NASAW00020713,1956-11-04,Male
NASAW00020714,1988-01-13,Female
NASAW00020715,1994-05-27,Female
NASAW00020716,1993-11-02,Male
NASAW00020717,1948-10-09,Male
NASAW00020718,1960-02-22,Male
NASAW00020719,1988-02-11,Male
NASAW00020720,2000-10-02,Female
NASAW00020721,1995-04-05,Female
NASAW00020722,1963-09-27,Male
NASAW00020723,1993-06-10,Female
NASAW00020724,1959-04-23,Female
NASAW00020725,1963-03-19,Male
NASAW00020726,1967-07-29,Female
NASAW00020727,1995-11-27,Female
NASAW00020728,1960-08-01,Male
NASAW00020729,1987-07-08,Female
NASAW00020730,1972-10-14,Female
NASAW00020731,1945-10-01,Male
NASAW00020732,1993-08-14,Male
NASAW00020733,1987-04-04,M
NASAW00020734,1952-01-19,Male
NASAW00020735,1992-04-15,Female
NASAW00020736,2006-06-08,Male
NASAW00020737,1958-03-15,Male
NASAW00020738,1952-05-19,Female
NASAW00020739,1977-05-17,Female
NASAW00020740,1950-12-30,Female
NASAW00020741,2000-07-31,Male
NASAW00020742,1949-12-26,Female
NASAW00020743,1981-05-28,Female
NASAW00020744,1973-09-01,Male
NASAW00020745,1953-10-06,Female
NASAW00020746,2006-02-03,Female
NASAW00020747,1967-09-08,Male
NASAW00020748,1965-08-14,Female
NASAW00020749,1949-12-21,Female
NASAW00020750,1971-03-25,Male
NASAW00020751,1963-02-04,M
NASAW00020752,1990-07-19,Male
NASAW00020753,1966-05-06,Male
NASAW00020754,1980-09-12,Male
NASAW00020755,1983-03-30,Male
NASAW00020756,1968-04-17,Male
NASAW00020757,1965-07-22,Female
NASAW00020758,1951-10-10,Female
NASAW00020759,1989-11-15,Female
NASAW00020760,1945-08-17,Male
NASAW00020761,1954-08-03,Female
NASAW00020762,1999-08-31,Female
NASAW00020763,2005-01-17,Male
NASAW00020764,1976-06-08,Male
NASAW00020765,1949-02-23,Male
NASAW00020766,1994-04-26,Female
NASAW00020767,1956-05-02,Male
NASAW00020768,1995-09-13,Male
NASAW00020769,1969-02-07,Male
NASAW00020770,1987-10-05,Male
NASAW00020771,1998-03-28,Female
NASAW00020772,1993-01-17,Female
NASAW00020773,1973-12-14,Male
NASAW00020774,1983-07-10,Female
NASAW00020775,1952-06-21,Male
NASAW00020776,1946-09-28,Female
NASAW00020777,1974-12-27,Female
NASAW00020778,1972-02-28,Male
NASAW00020779,1972-10-16,Female
NASAW00020780,1995-05-11,Male
NASAW00020781,1997-04-15,Female
NASAW00020782,1956-09-09,Male
NASAW00020783,1991-05-25,Male
NASAW00020784,1951-04-16,Female
NASAW00020785,1985-05-01,Female
NASAW00020786,1986-05-14,Female
NASAW00020787,1971-08-27,Female
NASAW00020788,1962-09-22,Female
NASAW00020789,1972-04-20,Female
NASAW00020790,1991-07-22,Female
NASAW00020791,1977-06-20,Female
NASAW00020792,1981-06-08,Female
NASAW00020793,1964-12-27,Male
NASAW00020794,1959-01-22,Male
NASAW00020795,1965-04-24,Male
NASAW00020796,2002-06-25,Female
NASAW00020797,1987-04-01,Female
NASAW00020798,1949-07-15,Male
NASAW00020799,1995-12-04,Male
NASAW00020800,1982-08-03,Female
NASAW00020801,1965-06-17,Male
NASAW00020802,1970-11-02,Female
NASAW00020803,1979-04-08,Male
NASAW00020804,1956-04-18,Male
NASAW00020805,,Male
NASAW00020806,1949-10-05,Male
NASAW00020807,1969-01-30,Male
NASAW00020808,1953-12-30,Male
NASAW00020809,1986-11-16,Male
NASAW00020810,1986-04-13,Male
NASAW00020811,1980-07-12,Male
NASAW00020812,1968-03-15,Female
NASAW00020813,1982-10-12,Male
NASAW00020814,1946-01-13,Female
NASAW00020815,1956-04-17,Male
NASAW00020816,1964-07-04,Female
NASAW00020817,1985-03-24,Male
NASAW00020818,1959-03-03,Male
NASAW00020819,2003-01-30,Female
NASAW00020820,2006-05-27,Female
NASAW00020821,1987-10-07,Male
NASAW00020822,1976-08-30,Male
NASAW00020823,1960-02-23,Male
NASAW00020824,1972-01-09,Male
NASAW00020825,1981-02-16,Male
NASAW00020826,1963-03-13,Male
NASAW00020827,1996-07-22,female
NASAW00020828,1949-12-27,Female
NASAW00020829,1981-06-23,Female
NASAW00020830,1972-01-06,Female
NASAW00020831,1967-05-18,Female
NASAW00020832,1973-07-16,Male
NASAW00020833,1970-06-29,Male
NASAW00020834,1956-03-18,Female
NASAW00020835,1998-09-17,Male
NASAW00020836,1983-11-02,Female
NASAW00020837,1969-01-05,Male
NASAW00020838,2000-10-19,Male
NASAW00020839,2006-05-11,Male
NASAW00020840,1969-11-13,Male
NASAW00020841,2005-04-11,Male
NASAW00020842,2006-10-21,Female
NASAW00020843,1995-01-21,Female
NASAW00020844,1985-12-21,Male
NASAW00020845,1964-11-09,Female
NASAW00020846,1965-11-08,Male
NASAW00020847,2001-06-09,Male
NASAW00020848,1949-07-12,Male
NASAW00020849,1982-12-17,Male
NASAW00020850,1958-09-08,Female
NASAW00020851,1967-09-29,male
NASAW00020852,1993-05-02,Female
NASAW00020853,1959-02-10,Male
NASAW00020854,1976-02-13,Male
NASAW00020855,1980-11-12,Male
NASAW00020856,1956-11-06,Male
NASAW00020857,1988-09-25,Female
NASAW00020858,1976-12-25,Female
NASAW00020859,1949-11-10,Female
NASAW00020860,2001-11-19,Male
NASAW00020861,1969-07-12,Female
NASAW00020862,1975-08-02,Male
NASAW00020863,1952-01-23,Male
NASAW00020864,1978-04-25,Male
NASAW00020865,1956-10-22,Male
NASAW00020866,1988-08-18,Male
NASAW00020867,1997-08-10,Male
NASAW00020868,1975-12-23,Female
NASAW00020869,1965-01-10,Female
NASAW00020870,1999-11-03,Male
NASAW00020871,2000-04-22,Female
NASAW00020872,1954-11-16,Female
NASAW00020873,1973-03-06,Male
NASAW00020874,1980-03-13,Male
NASAW00020875,1960-08-01,Male
NASAW00020876,1969-11-29,Male
NASAW00020877,1983-08-19,Female
NASAW00020878,1957-01-13,Male
NASAW00020879,2005-03-25,Female
NASAW00020880,1983-10-23,Male
NASAW00020881,1945-10-31,Male
NASAW00020882,1986-02-09,Male
NASAW00020883,1973-01-19,Male
NASAW00020884,1949-11-29,Female
NASAW00020885,1989-12-11,Female
NASAW00020886,1998-06-10,Male
NASAW00020887,1972-06-17,Male
NASAW00020888,1982-11-26,male
NASAW00020889,1948-10-09,Male
NASAW00020890,1954-10-22,Female
NASAW00020891,1982-06-19,Male
NASAW00020892,1964-06-05,Female
NASAW00020893,1991-01-24,Male
NASAW00020894,1993-04-06,Male
NASAW00020895,1970-03-20,Female
NASAW00020896,2003-11-23,Male
NASAW00020897,1994-10-12,Female
NASAW00020898,1990-08-07,Female
NASAW00020899,1952-12-13,Female
NASAW00020900,1982-09-21,Male
NASAW00020901,1976-06-12,Female
NASAW00020902,1974-12-21,Male
NASAW00020903,1979-02-10,Male
NASAW00020904,1946-01-30,Male
NASAW00020905,1988-10-21,Male
NASAW00020906,2002-04-08,Male
NASAW00020907,2005-05-26,Female
NASAW00020908,1985-02-21,Male
NASAW00020909,1986-02-06,Female
NASAW00020910,1970-05-14,male
NASAW00020911,1965-01-12,Male
NASAW00020912,1992-11-10,Female
NASAW00020913,1999-02-27,Female
NASAW00020914,1954-04-06,Female
NASAW00020915,1970-06-26,Male
NASAW00020916,1981-12-07,Male
NASAW00020917,1968-05-06,Female
NASAW00020918,1995-08-17,F
NASAW00020919,1978-12-30,Female
NASAW00020920,1985-04-28,Female
NASAW00020921,1989-02-01,Male
NASAW00020922,1983-02-16,Female
NASAW00020923,1949-01-28,Female
NASAW00020924,1981-01-30,Female
NASAW00020925,1967-05-03,Male
NASAW00020926,1990-03-13,Female
NASAW00020927,1963-10-19,Male
NASAW00020928,1946-06-17,Male
NASAW00020929,1976-05-10,Female
NASAW00020930,1983-06-12,Male
NASAW00020931,1966-07-21,Female
NASAW00020932,1988-04-02,Male
NASAW00020933,2005-09-27,Female
NASAW00020934,1989-06-03,Female
NASAW00020935,1954-09-18,Male
NASAW00020936,1982-04-18,Female
NASAW00020937,1994-02-13,Male
NASAW00020938,1946-02-18,Male
NASAW00020939,1968-07-24,Male
NASAW00020940,1978-08-22,Female
NASAW00020941,1975-03-28,Male
NASAW00020942,1975-09-10,Male
NASAW00020943,1990-07-06,Male
NASAW00020944,2004-09-25,Male
NASAW00020945,1995-12-18,Female
NASAW00020946,2001-08-14,Female
NASAW00020947,1957-02-14,Male
NASAW00020948,1980-02-23,Male
NASAW00020949,1970-04-23,Male
NASAW00020950,2005-03-22,Male
NASAW00020951,1997-01-22,Male
NASAW00020952,1973-01-26,Female
NASAW00020953,2000-06-26,Male
NASAW00020954,1989-02-11,Female
NASAW00020955,1954-07-18,Female
NASAW00020956,1973-03-07,Female
NASAW00020957,1979-10-07,Female
NASAW00020958,1962-06-19,Female
NASAW00020959,1959-01-24,Male
NASAW00020960,1985-08-01,Female
NASAW00020961,1949-12-30,Female
NASAW00020962,1967-05-31,Female
NASAW00020963,1970-09-30,F
NASAW00020964,1986-12-30,Male
NASAW00020965,1961-07-20,Female
NASAW00020966,1991-07-14,Male
NASAW00020967,1968-07-17,Male
NASAW00020968,1990-06-22,Male
NASAW00020969,1975-03-21,Female
NASAW00020970,1983-09-13,Male
NASAW00020971,1961-02-14,Male
NASAW00020972,1988-10-06,Female
NASAW00020973,1969-09-16,Male
NASAW00020974,1997-05-14,Male
NASAW00020975,1982-05-07,Male
NASAW00020976,1987-06-30,Female
NASAW00020977,1994-06-29,Female
NASAW00020978,1972-02-29,Male
NASAW00020979,1957-12-27,Female
NASAW00020980,1994-10-27,Female
NASAW00020981,1962-03-04,Male
NASAW00020982,1986-05-28,Male
NASAW00020983,1971-12-08,Male
NASAW00020984,1951-08-12,Male
NASAW00020985,1992-10-26,Female
NASAW00020986,1979-02-12,Male
NASAW00020987,1968-08-24,Male
NASAW00020988,2005-01-25,Male
NASAW00020989,1979-05-20,Female
NASAW00020990,1985-10-01,Male
NASAW00020991,1989-12-24,Male
NASAW00020992,1954-02-23,Male
NASAW00020993,1973-04-16,Female
NASAW00020994,2004-01-06,Male
NASAW00020995,1972-04-03,Female
NASAW00020996,1995-04-05,Male
NASAW00020997,1970-12-21,Male
NASAW00020998,1964-10-11,Female
NASAW00020999,1953-05-14,Male
NASAW00021000,1991-04-07,Male
NASAW00021001,1972-12-30,M
NASAW00021002,1952-09-16,Male
NASAW00021003,1959-01-18,Male
NASAW00021004,1984-12-01,Male
NASAW00021005,1972-10-14,Male
NASAW00021006,1990-01-25,Male
NASAW00021007,1996-05-13,Male
NASAW00021008,1979-09-01,Female
NASAW00021009,2004-04-06,Female
NASAW00021010,1992-03-29,Male
NASAW00021011,1962-10-04,Female
NASAW00021012,1979-12-19,Female
NASAW00021013,1956-03-24,Male
NASAW00021014,1986-01-24,Female
NASAW00021015,1998-10-19,Male
NASAW00021016,1985-10-27,Male
NASAW00021017,1964-12-17,Female
NASAW00021018,1968-10-27,Female
NASAW00021019,1945-05-02,Male
NASAW00021020,1967-02-26,Male
NASAW00021021,1980-04-10,Female
NASAW00021022,1952-12-25,Female
NASAW00021023,1971-12-16,Female
NASAW00021024,1946-07-09,Female
NASAW00021025,1985-06-15,Male
NASAW00021026,2002-12-12,Female
NASAW00021027,1988-11-11,Female
NASAW00021028,1966-08-30,Male
NASAW00021029,1952-04-15,male
NASAW00021030,1999-01-22,Female
NASAW00021031,1971-07-01,Male
NASAW00021032,1900-01-01,Female
NASAW00021033,1948-05-12,Female
NASAW00021034,1946-11-30,Female
NASAW00021035,1971-01-27,Female
NASAW00021036,1986-08-14,Female
NASAW00021037,2002-01-08,Female
NASAW00021038,1990-08-24,Male
NASAW00021039,1986-12-04,female
NASAW00021040,1967-02-10,Male
NASAW00021041,1947-04-11,Female
NASAW00021042,1987-01-13,Male
NASAW00021043,1984-11-17,Male
NASAW00021044,2003-08-30,Female
NASAW00021045,1998-06-05,Male
NASAW00021046,1948-04-26,Male
NASAW00021047,1954-12-05,Male
NASAW00021048,1984-09-07,Female
NASAW00021049,1949-09-03,Female
NASAW00021050,2000-04-09,Male
NASAW00021051,1969-01-18,Male
NASAW00021052,1976-12-31,Female
NASAW00021053,1985-03-03,Male
NASAW00021054,1965-12-06,Female
NASAW00021055,2004-07-14,Female
NASAW00021056,1975-09-22,Male
NASAW00021057,1965-07-12,Male
NASAW00021058,1988-01-26,Male
NASAW00021059,1963-12-10,Female
NASAW00021060,1966-11-15,Male
NASAW00021061,1972-11-29,Male
NASAW00021062,1979-07-08,Female
NASAW00021063,1964-03-28,Male
NASAW00021064,2000-01-13,Female
NASAW00021065,1966-02-12,Female
NASAW00021066,1964-06-02,Female
NASAW00021067,1983-05-12,Male
NASAW00021068,1969-07-01,Male
NASAW00021069,1962-08-05,Female
NASAW00021070,1992-03-12,Female
NASAW00021071,2004-04-28,Male
NASAW00021072,1987-12-28,Female
NASAW00021073,1994-08-26,Male
NASAW00021074,1968-05-25,Male
NASAW00021075,1969-07-15,Male
NASAW00021076,1988-03-17,Female
NASAW00021077,1984-07-03,Female
NASAW00021078,1945-07-12,Male
NASAW00021079,1987-11-09,Female
NASAW00021080,1986-06-30,Male
NASAW00021081,1955-11-24,Female
NASAW00021082,1947-03-14,Male
NASAW00021083,1978-04-14,Female
NASAW00021084,1972-02-13,Female
NASAW00021085,1946-05-26,Female
NASAW00021086,2004-06-12,Female
NASAW00021087,1977-05-09,Male
NASAW00021088,1998-10-07,Female
NASAW00021089,2004-05-04,Male
NASAW00021090,1993-07-15,Female
NASAW00021091,1997-04-28,Female
NASAW00021092,1973-11-26,Male
NASAW00021093,1974-07-17,Female
NASAW00021094,1979-12-09,Male
NASAW00021095,1949-04-19,Male
NASAW00021096,2004-11-10,Male
NASAW00021097,1952-06-18,Female
NASAW00021098,1951-08-16,Female
NASAW00021099,1962-04-10,Female
NASAW00021100,2000-12-08,Male
NASAW00021101,1957-07-02,Male
NASAW00021102,1945-02-09,Male
NASAW00021103,2003-10-11,Female
NASAW00021104,2004-10-01,Male
NASAW00021105,2006-01-16,Female
NASAW00021106,1987-11-22,Male
NASAW00021107,1951-08-08,Female
NASAW00021108,1992-06-24,Female
NASAW00021109,2001-05-08,Female
NASAW00021110,1977-07-20,Female
NASAW00021111,1951-04-20,Male
NASAW00021112,1951-06-12,Male
NASAW00021113,1957-07-14,Female
NASAW00021114,1952-04-28,Female
NASAW00021115,1970-10-15,Female
NASAW00021116,1950-08-31,Male
NASAW00021117,1947-08-11,Female
NASAW00021118,1968-06-27,Female
NASAW00021119,1999-07-05,Male
NASAW00021120,1973-06-06,Male
NASAW00021121,1982-02-16,Female
NASAW00021122,1969-07-29,Female
NASAW00021123,1958-03-22,Male
NASAW00021124,1996-04-12,Male
NASAW00021125,1975-10-19,Male
NASAW00021126,2001-12-22,Female
NASAW00021127,1954-02-15,Male
NASAW00021128,1986-05-15,Female
NASAW00021129,1959-11-04,Female
NASAW00021130,1961-08-07,Female
NASAW00021131,1968-01-30,Female
NASAW00021132,1967-04-12,Female
NASAW00021133,1993-08-21,Male
NASAW00021134,1955-06-03,Male
NASAW00021135,1964-10-22,Female
NASAW00021136,1947-03-08,Male
